,WIFI1,WIFI2,WIFI3,WIFI4,WIFI5,WIFI6,WIFI7,room
1835,-57,-60,-47,-59,-50,-79,-88,4
1841,-58,-50,-43,-56,-55,-83,-87,4
1844,-58,-57,-48,-64,-52,-92,-87,4
1845,-59,-57,-48,-69,-52,-87,-87,4
1860,-59,-55,-46,-66,-50,-86,-91,4
1863,-62,-59,-50,-66,-54,-95,-84,4
1867,-58,-56,-48,-65,-49,-87,-81,4
1874,-61,-58,-46,-69,-53,-82,-81,4
1878,-56,-54,-43,-60,-50,-86,-85,4
1879,-58,-57,-49,-64,-49,-89,-81,4
1883,-58,-58,-51,-61,-51,-85,-89,4
1889,-59,-50,-45,-60,-48,-83,-85,4
1891,-59,-53,-45,-60,-51,-87,-86,4
1898,-59,-51,-49,-63,-45,-86,-83,4
1903,-64,-51,-44,-61,-50,-88,-85,4
1906,-56,-55,-44,-60,-49,-84,-80,4
1907,-56,-53,-42,-61,-49,-83,-83,4
1909,-59,-58,-48,-65,-53,-83,-90,4
1911,-59,-51,-46,-58,-46,-90,-90,4
1914,-58,-56,-51,-65,-53,-87,-87,4
1916,-63,-54,-52,-59,-44,-86,-92,4
1920,-61,-57,-51,-56,-46,-88,-85,4
1921,-60,-57,-52,-59,-47,-88,-85,4
1922,-61,-58,-53,-57,-45,-86,-90,4
1925,-57,-61,-45,-62,-48,-87,-88,4
1932,-58,-56,-52,-58,-48,-87,-85,4
1938,-58,-57,-45,-58,-42,-88,-88,4
1939,-55,-49,-51,-56,-50,-84,-88,4
1942,-59,-52,-50,-55,-49,-87,-86,4
1943,-59,-52,-52,-56,-50,-86,-86,4
1944,-58,-52,-50,-55,-48,-87,-90,4
1945,-57,-54,-51,-60,-47,-84,-88,4
1949,-60,-55,-46,-59,-49,-87,-83,4
1952,-56,-50,-47,-60,-50,-88,-83,4
1953,-59,-53,-49,-56,-47,-87,-82,4
1955,-61,-50,-50,-58,-48,-88,-87,4
1961,-61,-50,-51,-59,-55,-87,-83,4
1962,-56,-51,-52,-59,-48,-87,-82,4
1965,-57,-53,-50,-59,-52,-83,-82,4
1966,-56,-54,-49,-58,-48,-83,-84,4
1968,-58,-55,-50,-60,-48,-87,-93,4
1969,-60,-52,-46,-56,-48,-84,-86,4
1970,-58,-55,-50,-54,-48,-80,-86,4
1972,-60,-52,-51,-55,-48,-86,-90,4
1974,-61,-54,-45,-54,-43,-88,-80,4
1975,-57,-53,-45,-54,-52,-84,-82,4
1977,-55,-57,-43,-59,-53,-81,-85,4
1978,-55,-54,-43,-60,-51,-84,-88,4
1979,-56,-55,-45,-59,-52,-84,-86,4
1982,-56,-55,-44,-61,-51,-84,-87,4
1984,-59,-54,-49,-58,-52,-83,-93,4
1991,-59,-53,-45,-57,-45,-81,-82,4
1997,-62,-59,-46,-65,-45,-87,-88,4
