,precio_compra,precio_mto,n_puertas,n_personas,t_maletero,nivel_seguridad,aceptabilidad
966,med,vhigh,5more,more,med,low,unacc
967,med,vhigh,5more,more,med,med,acc
969,med,vhigh,5more,more,big,low,unacc
970,med,vhigh,5more,more,big,med,acc
971,med,vhigh,5more,more,big,high,acc
972,med,high,2,2,small,low,unacc
973,med,high,2,2,small,med,unacc
974,med,high,2,2,small,high,unacc
976,med,high,2,2,med,med,unacc
978,med,high,2,2,big,low,unacc
979,med,high,2,2,big,med,unacc
981,med,high,2,4,small,low,unacc
983,med,high,2,4,small,high,acc
985,med,high,2,4,med,med,unacc
986,med,high,2,4,med,high,acc
988,med,high,2,4,big,med,acc
990,med,high,2,more,small,low,unacc
991,med,high,2,more,small,med,unacc
992,med,high,2,more,small,high,unacc
993,med,high,2,more,med,low,unacc
994,med,high,2,more,med,med,unacc
996,med,high,2,more,big,low,unacc
997,med,high,2,more,big,med,acc
999,med,high,3,2,small,low,unacc
1001,med,high,3,2,small,high,unacc
1003,med,high,3,2,med,med,unacc
1004,med,high,3,2,med,high,unacc
1006,med,high,3,2,big,med,unacc
1007,med,high,3,2,big,high,unacc
1008,med,high,3,4,small,low,unacc
1010,med,high,3,4,small,high,acc
1011,med,high,3,4,med,low,unacc
1012,med,high,3,4,med,med,unacc
1013,med,high,3,4,med,high,acc
1014,med,high,3,4,big,low,unacc
1015,med,high,3,4,big,med,acc
1016,med,high,3,4,big,high,acc
1017,med,high,3,more,small,low,unacc
1018,med,high,3,more,small,med,unacc
1019,med,high,3,more,small,high,acc
1020,med,high,3,more,med,low,unacc
1021,med,high,3,more,med,med,acc
1023,med,high,3,more,big,low,unacc
1025,med,high,3,more,big,high,acc
1026,med,high,4,2,small,low,unacc
1027,med,high,4,2,small,med,unacc
1028,med,high,4,2,small,high,unacc
1029,med,high,4,2,med,low,unacc
1030,med,high,4,2,med,med,unacc
1031,med,high,4,2,med,high,unacc
1032,med,high,4,2,big,low,unacc
1033,med,high,4,2,big,med,unacc
1034,med,high,4,2,big,high,unacc
1035,med,high,4,4,small,low,unacc
1038,med,high,4,4,med,low,unacc
1039,med,high,4,4,med,med,acc
1041,med,high,4,4,big,low,unacc
1043,med,high,4,4,big,high,acc
1044,med,high,4,more,small,low,unacc
1045,med,high,4,more,small,med,unacc
1046,med,high,4,more,small,high,acc
1048,med,high,4,more,med,med,acc
1049,med,high,4,more,med,high,acc
1050,med,high,4,more,big,low,unacc
1051,med,high,4,more,big,med,acc
1052,med,high,4,more,big,high,acc
1053,med,high,5more,2,small,low,unacc
1054,med,high,5more,2,small,med,unacc
1055,med,high,5more,2,small,high,unacc
1057,med,high,5more,2,med,med,unacc
1060,med,high,5more,2,big,med,unacc
1062,med,high,5more,4,small,low,unacc
1063,med,high,5more,4,small,med,unacc
1064,med,high,5more,4,small,high,acc
1066,med,high,5more,4,med,med,acc
1067,med,high,5more,4,med,high,acc
1068,med,high,5more,4,big,low,unacc
1070,med,high,5more,4,big,high,acc
1071,med,high,5more,more,small,low,unacc
1075,med,high,5more,more,med,med,acc
1077,med,high,5more,more,big,low,unacc
1078,med,high,5more,more,big,med,acc
1079,med,high,5more,more,big,high,acc
1080,med,med,2,2,small,low,unacc
1081,med,med,2,2,small,med,unacc
1082,med,med,2,2,small,high,unacc
1083,med,med,2,2,med,low,unacc
1085,med,med,2,2,med,high,unacc
1087,med,med,2,2,big,med,unacc
1089,med,med,2,4,small,low,unacc
1090,med,med,2,4,small,med,acc
1091,med,med,2,4,small,high,acc
1092,med,med,2,4,med,low,unacc
1093,med,med,2,4,med,med,acc
1094,med,med,2,4,med,high,acc
1099,med,med,2,more,small,med,unacc
1100,med,med,2,more,small,high,unacc
1101,med,med,2,more,med,low,unacc
1104,med,med,2,more,big,low,unacc
1105,med,med,2,more,big,med,acc
1106,med,med,2,more,big,high,vgood
1107,med,med,3,2,small,low,unacc
1108,med,med,3,2,small,med,unacc
1109,med,med,3,2,small,high,unacc
1110,med,med,3,2,med,low,unacc
1111,med,med,3,2,med,med,unacc
1112,med,med,3,2,med,high,unacc
1113,med,med,3,2,big,low,unacc
1115,med,med,3,2,big,high,unacc
1116,med,med,3,4,small,low,unacc
1118,med,med,3,4,small,high,acc
1119,med,med,3,4,med,low,unacc
1120,med,med,3,4,med,med,acc
1121,med,med,3,4,med,high,acc
1123,med,med,3,4,big,med,acc
1124,med,med,3,4,big,high,vgood
1126,med,med,3,more,small,med,acc
1128,med,med,3,more,med,low,unacc
1129,med,med,3,more,med,med,acc
1131,med,med,3,more,big,low,unacc
1133,med,med,3,more,big,high,vgood
1135,med,med,4,2,small,med,unacc
1136,med,med,4,2,small,high,unacc
1137,med,med,4,2,med,low,unacc
1139,med,med,4,2,med,high,unacc
1140,med,med,4,2,big,low,unacc
1142,med,med,4,2,big,high,unacc
1143,med,med,4,4,small,low,unacc
1144,med,med,4,4,small,med,acc
1146,med,med,4,4,med,low,unacc
1147,med,med,4,4,med,med,acc
1148,med,med,4,4,med,high,vgood
1149,med,med,4,4,big,low,unacc
1150,med,med,4,4,big,med,acc
1151,med,med,4,4,big,high,vgood
1152,med,med,4,more,small,low,unacc
1154,med,med,4,more,small,high,acc
1155,med,med,4,more,med,low,unacc
1158,med,med,4,more,big,low,unacc
1159,med,med,4,more,big,med,acc
1162,med,med,5more,2,small,med,unacc
1163,med,med,5more,2,small,high,unacc
1164,med,med,5more,2,med,low,unacc
1165,med,med,5more,2,med,med,unacc
1166,med,med,5more,2,med,high,unacc
1168,med,med,5more,2,big,med,unacc
1169,med,med,5more,2,big,high,unacc
1170,med,med,5more,4,small,low,unacc
1171,med,med,5more,4,small,med,acc
1172,med,med,5more,4,small,high,acc
1175,med,med,5more,4,med,high,vgood
1176,med,med,5more,4,big,low,unacc
1178,med,med,5more,4,big,high,vgood
1179,med,med,5more,more,small,low,unacc
1180,med,med,5more,more,small,med,acc
1181,med,med,5more,more,small,high,acc
1182,med,med,5more,more,med,low,unacc
1183,med,med,5more,more,med,med,acc
1185,med,med,5more,more,big,low,unacc
1187,med,med,5more,more,big,high,vgood
1189,med,low,2,2,small,med,unacc
1191,med,low,2,2,med,low,unacc
1193,med,low,2,2,med,high,unacc
1194,med,low,2,2,big,low,unacc
1197,med,low,2,4,small,low,unacc
1198,med,low,2,4,small,med,acc
1199,med,low,2,4,small,high,good
1201,med,low,2,4,med,med,acc
1202,med,low,2,4,med,high,good
1203,med,low,2,4,big,low,unacc
1204,med,low,2,4,big,med,good
1205,med,low,2,4,big,high,vgood
1206,med,low,2,more,small,low,unacc
1207,med,low,2,more,small,med,unacc
1209,med,low,2,more,med,low,unacc
1210,med,low,2,more,med,med,acc
1211,med,low,2,more,med,high,good
1212,med,low,2,more,big,low,unacc
1213,med,low,2,more,big,med,good
1215,med,low,3,2,small,low,unacc
1216,med,low,3,2,small,med,unacc
1220,med,low,3,2,med,high,unacc
1222,med,low,3,2,big,med,unacc
1223,med,low,3,2,big,high,unacc
1226,med,low,3,4,small,high,good
1229,med,low,3,4,med,high,good
1230,med,low,3,4,big,low,unacc
1231,med,low,3,4,big,med,good
1233,med,low,3,more,small,low,unacc
1235,med,low,3,more,small,high,good
1236,med,low,3,more,med,low,unacc
1237,med,low,3,more,med,med,good
1239,med,low,3,more,big,low,unacc
1240,med,low,3,more,big,med,good
1242,med,low,4,2,small,low,unacc
1243,med,low,4,2,small,med,unacc
1244,med,low,4,2,small,high,unacc
1246,med,low,4,2,med,med,unacc
1247,med,low,4,2,med,high,unacc
1248,med,low,4,2,big,low,unacc
1250,med,low,4,2,big,high,unacc
1252,med,low,4,4,small,med,acc
1253,med,low,4,4,small,high,good
1255,med,low,4,4,med,med,good
1256,med,low,4,4,med,high,vgood
1257,med,low,4,4,big,low,unacc
1259,med,low,4,4,big,high,vgood
1263,med,low,4,more,med,low,unacc
1265,med,low,4,more,med,high,vgood
1266,med,low,4,more,big,low,unacc
1268,med,low,4,more,big,high,vgood
1270,med,low,5more,2,small,med,unacc
1271,med,low,5more,2,small,high,unacc
1272,med,low,5more,2,med,low,unacc
1273,med,low,5more,2,med,med,unacc
1274,med,low,5more,2,med,high,unacc
1275,med,low,5more,2,big,low,unacc
1277,med,low,5more,2,big,high,unacc
1278,med,low,5more,4,small,low,unacc
1279,med,low,5more,4,small,med,acc
1280,med,low,5more,4,small,high,good
1282,med,low,5more,4,med,med,good
1283,med,low,5more,4,med,high,vgood
1284,med,low,5more,4,big,low,unacc
1286,med,low,5more,4,big,high,vgood
1287,med,low,5more,more,small,low,unacc
1288,med,low,5more,more,small,med,acc
1289,med,low,5more,more,small,high,good
1290,med,low,5more,more,med,low,unacc
1292,med,low,5more,more,med,high,vgood
1293,med,low,5more,more,big,low,unacc
1294,med,low,5more,more,big,med,good
1295,med,low,5more,more,big,high,vgood
1303,low,vhigh,2,2,big,med,unacc
1304,low,vhigh,2,2,big,high,unacc
1305,low,vhigh,2,4,small,low,unacc
1307,low,vhigh,2,4,small,high,acc
1309,low,vhigh,2,4,med,med,unacc
1310,low,vhigh,2,4,med,high,acc
1313,low,vhigh,2,4,big,high,acc
1314,low,vhigh,2,more,small,low,unacc
1317,low,vhigh,2,more,med,low,unacc
1318,low,vhigh,2,more,med,med,unacc
1319,low,vhigh,2,more,med,high,acc
1320,low,vhigh,2,more,big,low,unacc
1324,low,vhigh,3,2,small,med,unacc
1325,low,vhigh,3,2,small,high,unacc
1326,low,vhigh,3,2,med,low,unacc
1327,low,vhigh,3,2,med,med,unacc
1328,low,vhigh,3,2,med,high,unacc
1329,low,vhigh,3,2,big,low,unacc
1330,low,vhigh,3,2,big,med,unacc
1331,low,vhigh,3,2,big,high,unacc
1334,low,vhigh,3,4,small,high,acc
1335,low,vhigh,3,4,med,low,unacc
1338,low,vhigh,3,4,big,low,unacc
1340,low,vhigh,3,4,big,high,acc
1341,low,vhigh,3,more,small,low,unacc
1342,low,vhigh,3,more,small,med,unacc
1345,low,vhigh,3,more,med,med,acc
1346,low,vhigh,3,more,med,high,acc
1347,low,vhigh,3,more,big,low,unacc
1348,low,vhigh,3,more,big,med,acc
1352,low,vhigh,4,2,small,high,unacc
1353,low,vhigh,4,2,med,low,unacc
1354,low,vhigh,4,2,med,med,unacc
1356,low,vhigh,4,2,big,low,unacc
1357,low,vhigh,4,2,big,med,unacc
1359,low,vhigh,4,4,small,low,unacc
1361,low,vhigh,4,4,small,high,acc
1363,low,vhigh,4,4,med,med,acc
1365,low,vhigh,4,4,big,low,unacc
1366,low,vhigh,4,4,big,med,acc
1367,low,vhigh,4,4,big,high,acc
1368,low,vhigh,4,more,small,low,unacc
1369,low,vhigh,4,more,small,med,unacc
1370,low,vhigh,4,more,small,high,acc
1371,low,vhigh,4,more,med,low,unacc
1374,low,vhigh,4,more,big,low,unacc
1375,low,vhigh,4,more,big,med,acc
1376,low,vhigh,4,more,big,high,acc
1377,low,vhigh,5more,2,small,low,unacc
1378,low,vhigh,5more,2,small,med,unacc
1380,low,vhigh,5more,2,med,low,unacc
1381,low,vhigh,5more,2,med,med,unacc
1382,low,vhigh,5more,2,med,high,unacc
1383,low,vhigh,5more,2,big,low,unacc
1386,low,vhigh,5more,4,small,low,unacc
1387,low,vhigh,5more,4,small,med,unacc
1388,low,vhigh,5more,4,small,high,acc
1389,low,vhigh,5more,4,med,low,unacc
1390,low,vhigh,5more,4,med,med,acc
1392,low,vhigh,5more,4,big,low,unacc
1393,low,vhigh,5more,4,big,med,acc
1402,low,vhigh,5more,more,big,med,acc
1403,low,vhigh,5more,more,big,high,acc
1405,low,high,2,2,small,med,unacc
1406,low,high,2,2,small,high,unacc
1407,low,high,2,2,med,low,unacc
1410,low,high,2,2,big,low,unacc
1415,low,high,2,4,small,high,acc
1418,low,high,2,4,med,high,acc
1420,low,high,2,4,big,med,acc
1421,low,high,2,4,big,high,vgood
1422,low,high,2,more,small,low,unacc
1423,low,high,2,more,small,med,unacc
1425,low,high,2,more,med,low,unacc
1427,low,high,2,more,med,high,acc
1428,low,high,2,more,big,low,unacc
1430,low,high,2,more,big,high,vgood
1431,low,high,3,2,small,low,unacc
1432,low,high,3,2,small,med,unacc
1434,low,high,3,2,med,low,unacc
1435,low,high,3,2,med,med,unacc
1436,low,high,3,2,med,high,unacc
1437,low,high,3,2,big,low,unacc
1438,low,high,3,2,big,med,unacc
1439,low,high,3,2,big,high,unacc
1440,low,high,3,4,small,low,unacc
1441,low,high,3,4,small,med,acc
1442,low,high,3,4,small,high,acc
1443,low,high,3,4,med,low,unacc
1444,low,high,3,4,med,med,acc
1445,low,high,3,4,med,high,acc
1446,low,high,3,4,big,low,unacc
1447,low,high,3,4,big,med,acc
1448,low,high,3,4,big,high,vgood
1449,low,high,3,more,small,low,unacc
1450,low,high,3,more,small,med,acc
1451,low,high,3,more,small,high,acc
1452,low,high,3,more,med,low,unacc
1454,low,high,3,more,med,high,vgood
1455,low,high,3,more,big,low,unacc
1456,low,high,3,more,big,med,acc
1457,low,high,3,more,big,high,vgood
1462,low,high,4,2,med,med,unacc
1463,low,high,4,2,med,high,unacc
1464,low,high,4,2,big,low,unacc
1465,low,high,4,2,big,med,unacc
1466,low,high,4,2,big,high,unacc
1467,low,high,4,4,small,low,unacc
1469,low,high,4,4,small,high,acc
1470,low,high,4,4,med,low,unacc
1472,low,high,4,4,med,high,vgood
1473,low,high,4,4,big,low,unacc
1474,low,high,4,4,big,med,acc
1477,low,high,4,more,small,med,acc
1478,low,high,4,more,small,high,acc
1479,low,high,4,more,med,low,unacc
1481,low,high,4,more,med,high,vgood
1482,low,high,4,more,big,low,unacc
1483,low,high,4,more,big,med,acc
1486,low,high,5more,2,small,med,unacc
1489,low,high,5more,2,med,med,unacc
1491,low,high,5more,2,big,low,unacc
1492,low,high,5more,2,big,med,unacc
1494,low,high,5more,4,small,low,unacc
1495,low,high,5more,4,small,med,acc
1496,low,high,5more,4,small,high,acc
1497,low,high,5more,4,med,low,unacc
1498,low,high,5more,4,med,med,acc
1499,low,high,5more,4,med,high,vgood
1501,low,high,5more,4,big,med,acc
1503,low,high,5more,more,small,low,unacc
1504,low,high,5more,more,small,med,acc
1505,low,high,5more,more,small,high,acc
1506,low,high,5more,more,med,low,unacc
1507,low,high,5more,more,med,med,acc
1508,low,high,5more,more,med,high,vgood
1509,low,high,5more,more,big,low,unacc
1510,low,high,5more,more,big,med,acc
1511,low,high,5more,more,big,high,vgood
1514,low,med,2,2,small,high,unacc
1515,low,med,2,2,med,low,unacc
1516,low,med,2,2,med,med,unacc
1517,low,med,2,2,med,high,unacc
1518,low,med,2,2,big,low,unacc
1519,low,med,2,2,big,med,unacc
1520,low,med,2,2,big,high,unacc
1521,low,med,2,4,small,low,unacc
1522,low,med,2,4,small,med,acc
1524,low,med,2,4,med,low,unacc
1525,low,med,2,4,med,med,acc
1527,low,med,2,4,big,low,unacc
1528,low,med,2,4,big,med,good
1529,low,med,2,4,big,high,vgood
1532,low,med,2,more,small,high,unacc
1534,low,med,2,more,med,med,acc
1536,low,med,2,more,big,low,unacc
1537,low,med,2,more,big,med,good
1540,low,med,3,2,small,med,unacc
1541,low,med,3,2,small,high,unacc
1542,low,med,3,2,med,low,unacc
1543,low,med,3,2,med,med,unacc
1544,low,med,3,2,med,high,unacc
1545,low,med,3,2,big,low,unacc
1546,low,med,3,2,big,med,unacc
1547,low,med,3,2,big,high,unacc
1548,low,med,3,4,small,low,unacc
1549,low,med,3,4,small,med,acc
1550,low,med,3,4,small,high,good
1551,low,med,3,4,med,low,unacc
1552,low,med,3,4,med,med,acc
1553,low,med,3,4,med,high,good
1554,low,med,3,4,big,low,unacc
1555,low,med,3,4,big,med,good
1557,low,med,3,more,small,low,unacc
1558,low,med,3,more,small,med,acc
1559,low,med,3,more,small,high,good
1560,low,med,3,more,med,low,unacc
1561,low,med,3,more,med,med,good
1562,low,med,3,more,med,high,vgood
1563,low,med,3,more,big,low,unacc
1564,low,med,3,more,big,med,good
1565,low,med,3,more,big,high,vgood
1566,low,med,4,2,small,low,unacc
1567,low,med,4,2,small,med,unacc
1569,low,med,4,2,med,low,unacc
1570,low,med,4,2,med,med,unacc
1571,low,med,4,2,med,high,unacc
1572,low,med,4,2,big,low,unacc
1573,low,med,4,2,big,med,unacc
1574,low,med,4,2,big,high,unacc
1575,low,med,4,4,small,low,unacc
1576,low,med,4,4,small,med,acc
1579,low,med,4,4,med,med,good
1580,low,med,4,4,med,high,vgood
1581,low,med,4,4,big,low,unacc
1582,low,med,4,4,big,med,good
1583,low,med,4,4,big,high,vgood
1584,low,med,4,more,small,low,unacc
1585,low,med,4,more,small,med,acc
1586,low,med,4,more,small,high,good
1587,low,med,4,more,med,low,unacc
1590,low,med,4,more,big,low,unacc
1591,low,med,4,more,big,med,good
1592,low,med,4,more,big,high,vgood
1593,low,med,5more,2,small,low,unacc
1594,low,med,5more,2,small,med,unacc
1595,low,med,5more,2,small,high,unacc
1597,low,med,5more,2,med,med,unacc
1598,low,med,5more,2,med,high,unacc
1599,low,med,5more,2,big,low,unacc
1600,low,med,5more,2,big,med,unacc
1601,low,med,5more,2,big,high,unacc
1602,low,med,5more,4,small,low,unacc
1604,low,med,5more,4,small,high,good
1606,low,med,5more,4,med,med,good
1607,low,med,5more,4,med,high,vgood
1609,low,med,5more,4,big,med,good
1610,low,med,5more,4,big,high,vgood
1611,low,med,5more,more,small,low,unacc
1613,low,med,5more,more,small,high,good
1615,low,med,5more,more,med,med,good
1616,low,med,5more,more,med,high,vgood
1617,low,med,5more,more,big,low,unacc
1618,low,med,5more,more,big,med,good
1620,low,low,2,2,small,low,unacc
1621,low,low,2,2,small,med,unacc
1622,low,low,2,2,small,high,unacc
1624,low,low,2,2,med,med,unacc
1626,low,low,2,2,big,low,unacc
1627,low,low,2,2,big,med,unacc
1630,low,low,2,4,small,med,acc
1631,low,low,2,4,small,high,good
1632,low,low,2,4,med,low,unacc
1635,low,low,2,4,big,low,unacc
1636,low,low,2,4,big,med,good
1640,low,low,2,more,small,high,unacc
1641,low,low,2,more,med,low,unacc
1642,low,low,2,more,med,med,acc
1643,low,low,2,more,med,high,good
1644,low,low,2,more,big,low,unacc
1645,low,low,2,more,big,med,good
1647,low,low,3,2,small,low,unacc
1648,low,low,3,2,small,med,unacc
1650,low,low,3,2,med,low,unacc
1651,low,low,3,2,med,med,unacc
1652,low,low,3,2,med,high,unacc
1653,low,low,3,2,big,low,unacc
1654,low,low,3,2,big,med,unacc
1655,low,low,3,2,big,high,unacc
1656,low,low,3,4,small,low,unacc
1658,low,low,3,4,small,high,good
1662,low,low,3,4,big,low,unacc
1663,low,low,3,4,big,med,good
1664,low,low,3,4,big,high,vgood
1665,low,low,3,more,small,low,unacc
1666,low,low,3,more,small,med,acc
1667,low,low,3,more,small,high,good
1669,low,low,3,more,med,med,good
1670,low,low,3,more,med,high,vgood
1671,low,low,3,more,big,low,unacc
1673,low,low,3,more,big,high,vgood
1674,low,low,4,2,small,low,unacc
1675,low,low,4,2,small,med,unacc
1677,low,low,4,2,med,low,unacc
1678,low,low,4,2,med,med,unacc
1682,low,low,4,2,big,high,unacc
1686,low,low,4,4,med,low,unacc
1688,low,low,4,4,med,high,vgood
1691,low,low,4,4,big,high,vgood
1692,low,low,4,more,small,low,unacc
1693,low,low,4,more,small,med,acc
1696,low,low,4,more,med,med,good
1697,low,low,4,more,med,high,vgood
1698,low,low,4,more,big,low,unacc
1701,low,low,5more,2,small,low,unacc
1702,low,low,5more,2,small,med,unacc
1703,low,low,5more,2,small,high,unacc
1705,low,low,5more,2,med,med,unacc
1707,low,low,5more,2,big,low,unacc
1708,low,low,5more,2,big,med,unacc
1709,low,low,5more,2,big,high,unacc
1710,low,low,5more,4,small,low,unacc
1711,low,low,5more,4,small,med,acc
1712,low,low,5more,4,small,high,good
1716,low,low,5more,4,big,low,unacc
1717,low,low,5more,4,big,med,good
1718,low,low,5more,4,big,high,vgood
1719,low,low,5more,more,small,low,unacc
1720,low,low,5more,more,small,med,acc
1722,low,low,5more,more,med,low,unacc
1723,low,low,5more,more,med,med,good
1724,low,low,5more,more,med,high,vgood
1726,low,low,5more,more,big,med,good
1727,low,low,5more,more,big,high,vgood
